CS01,Specialist Program in Computer Science
CS02,Specialist (Co-operative) Program in Computer Science
CS03,Specialist Program in Management and Information Technology
CS04,Major Program in Computer Science
CS05,Major (Co-operative) Program in Computer Science
CS06,Minor Program in Computer Science
